KSS<=6,KSS>=7
19.18951563324968,7.459974179542633
5.532786885245901,4.505632040050062
10.3161960362028,24.92847238068491
11.187052621179598,16.793002915451897
11.452458159799596,39.860491810516095
16.76565658364574,30.127112453124234
4.893463025402934,8.437221125503664
0.3254590328442407,5.467607129878963
4.7649644041224395,8.28002587508086
4.666816966730007,4.524680073126142
9.193500526036562,nan
6.63594470046083,nan
17.32062182063961,nan
6.338140883142751,nan
24.454704664862284,nan
18.029037919480935,nan
8.899271976529393,nan
5.201028929842489,nan
10.986182501945855,nan
