Morning,Afternoon,Night
10.3161960362028,11.452458159799596,6.63594470046083
17.32062182063961,19.18951563324968,7.459974179542633
-1,16.76565658364574,5.467607129878963
5.532786885245901,4.505632040050062,4.524680073126142
0.3254590328442407,4.893463025402934,-1
11.187052621179598,6.338140883142751,4.7649644041224395
24.92847238068491,24.454704664862284,16.793002915451897
18.029037919480935,39.860491810516095,30.127112453124234
4.666816966730007,8.899271976529393,5.201028929842489
9.193500526036562,8.28002587508086,10.986182501945855
-1,8.437221125503664,-1
